# id; stanje; sekretar; ucenik; kurs; vremeKreiranja
1179155000; 1; ; 1314966829; 4654753; 13:27 29.8.2021.; false
31412234; 3; 353453; 1952135615; 53453123; 13:21 4.4.2020.; false
1132860268; 4; 353453; 1952135615; 4654753; 13:22 4.4.2020.; false
880323479; 3; 353453; 1952135615; 775268761; 13:23 4.4.2019.; false
715461047; 4; 353453; 1952135615; 775268761; 13:24 4.4.2020.; false
1420109459; 4; 353453; 1775615751; 775268761; 13:25 4.4.2020.; false
258832160; 3; 353453; 1396972464; 775268761; 13:26 4.4.2020.; false
1676402934; 4; 353453; 1396972464; 775268761; 13:27 4.4.2019.; false
2030037494; 4; 353453; 1727581982; 775268761; 13:28 4.4.2020.; false
447980393; 4; 353453; 456143317; 775268761; 13:29 4.4.2020.; false
1631210158; 4; 353453; 2068733510; 775268761; 13:30 4.4.2019.; false
1668401671; 4; 353453; 716974200; 775268761; 13:31 4.4.2020.; false
1732649861; 2; 353453; 456143317; 4654753; 12:52 16.8.2021.; false
945628541; 4; 353453; 1396972464; 53453123; 17:31 17.8.2021.; false
145940555; 3; 353453; 2068733510; 53453123; 18:7 17.8.2021.; false
702540301; 3; 353453; 456143317; 53453123; 13:38 25.8.2021.; false
1671561629; 4; 353453; 1396972464; 4654753; 13:6 27.8.2021.; false
1432838285; 4; 353453; 456143317; 53453123; 18:28 28.8.2021.; false
2075677411; 4; 353453; 2068733510; 53453123; 18:30 28.8.2021.; false
1123012040; 4; 353453; 1878019821; 53453123; 12:29 1.9.2021.; false
